index;k;lb;cleaning;class
synth-n_275-m_7787-k_6-p_0.2.txt;6;6;0;s
synth-n_275-m_7982-k_10-p_0.2.txt;10;10;0;s
synth-n_275-m_8114-k_15-p_0.2.txt;15;15;0;s
synth-n_275-m_8401-k_20-p_0.2.txt;20;20;0;s
synth-n_275-m_8453-k_25-p_0.2.txt;25;24;0;s
synth-n_275-m_8461-k_30-p_0.2.txt;30;29;0;s
synth-n_30-m_111-k_8-p_0.2.txt;7;7;7;s
synth-n_30-m_114-k_6-p_0.2.txt;5;4;1;s
synth-n_30-m_117-k_10-p_0.2.txt;7;6;1;s
synth-n_30-m_25-k_2-p_0.05.txt;0;0;0;s
synth-n_30-m_28-k_4-p_0.05.txt;2;2;2;s
synth-n_30-m_28-k_6-p_0.05.txt;1;1;1;s
synth-n_30-m_28-k_8-p_0.05.txt;1;1;1;s
synth-n_30-m_35-k_10-p_0.05.txt;0;0;0;s
synth-n_30-m_55-k_4-p_0.1.txt;2;2;2;s
synth-n_30-m_58-k_6-p_0.1.txt;2;2;2;s
synth-n_30-m_60-k_2-p_0.1.txt;1;1;1;s
synth-n_30-m_64-k_8-p_0.1.txt;3;3;3;s
synth-n_30-m_73-k_10-p_0.1.txt;4;3;1;s
synth-n_30-m_97-k_2-p_0.2.txt;2;2;2;s
synth-n_30-m_99-k_4-p_0.2.txt;3;3;3;s
synth-n_300-m_10263-k_30-p_0.2.txt;30;26;0;s
synth-n_300-m_2234-k_4-p_0.05.txt;4;4;4;s
synth-n_300-m_2261-k_2-p_0.05.txt;2;2;2;s
synth-n_300-m_2382-k_6-p_0.05.txt;6;6;6;s
synth-n_300-m_2418-k_10-p_0.05.txt;10;10;3;s
synth-n_300-m_2429-k_8-p_0.05.txt;8;8;2;s
synth-n_300-m_2479-k_15-p_0.05.txt;15;14;2;s
synth-n_300-m_2480-k_20-p_0.05.txt;20;19;2;s
synth-n_300-m_2495-k_25-p_0.05.txt;25;14;0;s
