instance;recursions;rootTime;cleaningTime;packingTime;flowerTime;digraphTime;busyCycleBranchingTime;cycleSearchTime;tarjanTime;totalTime;firstLowerbound;firstDigraphNodes;firstCleans;tarjanString
../instances/synthetic/synth-n_120-m_368-k_2-p_0.05.txt;0;18987049;0;0;0;0;0;0;0;18988531;0;0;2;null
../instances/synthetic/synth-n_70-m_560-k_10-p_0.2.txt;12;46592287;29801704;4024029;0;2237854;2301929;9347;0;91808478;7;0;0;null
../instances/synthetic/synth-n_30-m_28-k_4-p_0.05.txt;0;9052061;0;0;0;0;0;0;0;9065329;0;2;0;null
../instances/synthetic/synth-n_10-m_12-k_4-p_0.2.txt;0;6835588;0;0;0;0;0;0;0;6841813;0;0;1;null
../instances/complex/baydry;0;46565500;0;0;0;0;0;0;0;46567379;0;0;7;null
../instances/complex/GD-n_80-m_232.mtx;8;47167516;618233;10134135;0;335054;936997;4972;0;61120978;2;0;16;null
../instances/synthetic/synth-n_80-m_343-k_10-p_0.1.txt;18;48285681;30661000;3059446;0;2513086;2576335;7910;0;90717446;3;0;2;null
../instances/synthetic/synth-n_100-m_1119-k_8-p_0.2.txt;1;114219655;26101107;5772670;0;4161521;0;11842;0;151984802;8;0;0;null
../instances/synthetic/synth-n_100-m_1028-k_4-p_0.2.txt;1;84503405;12098582;1726835;0;3932123;0;207087;0;104708245;4;0;0;null
../instances/synthetic/synth-n_225-m_1385-k_8-p_0.05.txt;0;193756517;0;0;0;0;0;0;0;193757880;0;0;8;null
../instances/synthetic/synth-n_225-m_2732-k_4-p_0.1.txt;0;258574260;0;0;0;0;0;0;0;258576783;0;0;4;null
../instances/synthetic/synth-n_120-m_1738-k_15-p_0.2.txt;2;236305792;51829556;6643832;0;14909944;1552016;8472;0;312304041;15;0;0;null
../instances/synthetic/synth-n_160-m_2776-k_8-p_0.2.txt;1;279002209;57914334;4889200;0;6119492;0;9353;0;350014240;8;0;0;null
../instances/synthetic/synth-n_200-m_4765-k_30-p_0.2.txt;14;767575102;277812415;31720327;0;8550483;9410774;4600;0;1101106563;28;0;0;null
../instances/synthetic/synth-n_60-m_126-k_8-p_0.05.txt;0;14832097;0;0;0;0;0;0;0;14833669;0;0;4;null
../instances/synthetic/synth-n_50-m_70-k_4-p_0.05.txt;0;11337374;0;0;0;0;0;0;0;11340347;0;0;0;null
../instances/synthetic/synth-n_120-m_395-k_8-p_0.05.txt;0;48648296;0;0;0;0;0;0;0;48651189;0;0;7;null
../instances/complex/health-n_700;5;59998911;294429;208569;0;166496;0;4497;0;61053968;2;107;16;null
../instances/synthetic/synth-n_60-m_211-k_10-p_0.1.txt;23;25964357;45961294;3059426;0;6277860;2818462;4773;0;101083205;5;0;0;null
